Country,Code,Year,Gini coefficient
Brazil,BRA,2006,0.556473171
Brazil,BRA,2007,0.549277443
Brazil,BRA,2008,0.5404328
Brazil,BRA,2009,0.536872336
Brazil,BRA,2011,0.529475926
Brazil,BRA,2012,0.534398527
Brazil,BRA,2013,0.526865403
Brazil,BRA,2014,0.520331403
Brazil,BRA,2015,0.519308287
Brazil,BRA,2016,0.533428448
Brazil,BRA,2017,0.5333405
Brazil,BRA,2018,0.538709474
Brazil,BRA,2019,0.534857704
Chile,CHL,1992,0.548144893
Chile,CHL,1994,0.564335963
Chile,CHL,1996,0.54873679
Chile,CHL,1998,0.555220691
Chile,CHL,2000,0.52772009
Chile,CHL,2003,0.51489868
Chile,CHL,2006,0.472948164
Chile,CHL,2009,0.46991219
Chile,CHL,2011,0.460483497
Chile,CHL,2013,0.458311061
Chile,CHL,2015,0.443713277
Chile,CHL,2017,0.444410284
Colombia,COL,1992,0.514536725
Colombia,COL,1996,0.569369082
Colombia,COL,1999,0.587396001
Colombia,COL,2000,0.58682893
Colombia,COL,2001,0.574830396
Colombia,COL,2002,0.560189005
Colombia,COL,2003,0.535864778
Colombia,COL,2004,0.549810497
Colombia,COL,2005,0.539133393
Colombia,COL,2008,0.553232461
Colombia,COL,2009,0.542964151
Colombia,COL,2010,0.546254766
Colombia,COL,2011,0.534902914
Colombia,COL,2012,0.526454824
Colombia,COL,2013,0.526326364
Colombia,COL,2014,0.52551015
Colombia,COL,2015,0.509904209
Colombia,COL,2016,0.505706771
Colombia,COL,2017,0.497154848
Colombia,COL,2018,0.504187041
Colombia,COL,2019,0.513349741
Ecuador,ECU,1994,0.53368962
Ecuador,ECU,1999,0.586019931
Ecuador,ECU,2000,0.563785176
Ecuador,ECU,2003,0.535286921
Ecuador,ECU,2004,0.539319908
Ecuador,ECU,2005,0.530584801
Ecuador,ECU,2006,0.522514048
Ecuador,ECU,2007,0.533634508
Ecuador,ECU,2008,0.497934696
Ecuador,ECU,2009,0.485059901
Ecuador,ECU,2010,0.488044339
Ecuador,ECU,2011,0.458774819
Ecuador,ECU,2012,0.461219409
Ecuador,ECU,2013,0.468649031
Ecuador,ECU,2014,0.449950496
Ecuador,ECU,2015,0.459542949
Ecuador,ECU,2016,0.450200688
Ecuador,ECU,2017,0.446730295
Ecuador,ECU,2018,0.454402996
Ecuador,ECU,2019,0.457115331
Guyana,GUY,1998,0.451181417
Paraguay,PRY,1995,0.581590394
Paraguay,PRY,1997,0.548924318
Paraguay,PRY,1999,0.545774652
Paraguay,PRY,2001,0.54629301
Paraguay,PRY,2002,0.572762901
Paraguay,PRY,2003,0.549383523
Paraguay,PRY,2004,0.522628136
Paraguay,PRY,2005,0.513817921
Paraguay,PRY,2006,0.529954886
Paraguay,PRY,2007,0.530412063
Paraguay,PRY,2008,0.507047521
Paraguay,PRY,2009,0.491457622
Paraguay,PRY,2010,0.509824377
Paraguay,PRY,2011,0.523099316
Paraguay,PRY,2012,0.47633563
Paraguay,PRY,2013,0.479360312
Paraguay,PRY,2014,0.50702645
Paraguay,PRY,2015,0.476059093
Paraguay,PRY,2016,0.478997177
Paraguay,PRY,2017,0.485474929
Paraguay,PRY,2018,0.459551019
Paraguay,PRY,2019,0.456506375
Peru,PER,1994,0.440239887
Peru,PER,1997,0.532593639
Peru,PER,1998,0.551215183
Peru,PER,1999,0.548288923
Peru,PER,2000,0.490733633
Peru,PER,2001,0.513063335
Peru,PER,2002,0.535659229
Peru,PER,2003,0.530813275
Peru,PER,2004,0.498808504
Peru,PER,2005,0.504513566
Peru,PER,2006,0.503328575
Peru,PER,2007,0.500220408
Peru,PER,2008,0.474873379
Peru,PER,2009,0.470065807
Peru,PER,2010,0.455379256
Peru,PER,2011,0.446601519
Peru,PER,2012,0.444404087
Peru,PER,2013,0.438828966
Peru,PER,2014,0.431392253
Peru,PER,2015,0.433564001
Peru,PER,2016,0.436392562
Peru,PER,2017,0.4329279
Peru,PER,2018,0.423876479
Peru,PER,2019,0.415627846
Suriname - urban,,1999,0.578514039
Uruguay,URY,2006,0.459415902
Uruguay,URY,2007,0.464051328
Uruguay,URY,2008,0.450817799
Uruguay,URY,2009,0.455416817
Uruguay,URY,2010,0.444750164
Uruguay,URY,2011,0.421753176
Uruguay,URY,2012,0.399005725
Uruguay,URY,2013,0.40450911
Uruguay,URY,2014,0.401110826
Uruguay,URY,2015,0.401287699
Uruguay,URY,2016,0.396955003
Uruguay,URY,2017,0.394645312
Uruguay,URY,2018,0.396872398
Uruguay,URY,2019,0.39676545
Venezuela,VEN,1992,0.421035492
Venezuela,VEN,1995,0.472122583
Venezuela,VEN,1998,0.480637821
Venezuela,VEN,1999,0.477622883
Venezuela,VEN,2001,0.472314213
Venezuela,VEN,2002,0.49013414
Venezuela,VEN,2003,0.481023205
Venezuela,VEN,2004,0.475041249
Venezuela,VEN,2005,0.494591771
Venezuela,VEN,2006,0.447704983
