Country,Code,Year,DeathsPer100000
Madagascar,MDG,2019,1.94
Malawi,MWI,2019,1.8
Malaysia,MYS,2019,1.84
Maldives,MDV,2019,1.97
Mali,MLI,2019,10.56
Malta,MLT,2019,1.13
Marshall Islands,MHL,2019,7.66
Mauritania,MRT,2019,4.98
Mauritius,MUS,2019,2.49
Mexico,MEX,2019,24.55
Micronesia (country),FSM,2019,8.44
Middle East & North Africa (WB),,2019,2.5
Moldova,MDA,2019,5.65
Monaco,MCO,2019,0.46
Mongolia,MNG,2019,8.51
Montenegro,MNE,2019,3.43
Morocco,MAR,2019,0.97
Mozambique,MOZ,2019,6.13
Myanmar,MMR,2019,1.29
Namibia,NAM,2019,18.21
Nauru,NRU,2019,7.09
Nepal,NPL,2019,1.76
Netherlands,NLD,2019,0.84
New Zealand,NZL,2019,1.28
Nicaragua,NIC,2019,6.06
Niger,NER,2019,8.42
Nigeria,NGA,2019,6.03
Niue,NIU,2019,4.28
North America (WB),,2019,5.18
North Korea,PRK,2019,3.15
North Macedonia,MKD,2019,2.03
Northern Ireland,,2019,0.69
Northern Mariana Islands,MNP,2019,6.34
Norway,NOR,2019,0.61
OECD Countries,,2019,4.49
Oman,OMN,2019,0.66
Pakistan,PAK,2019,6
Palau,PLW,2019,11.06
Palestine,PSE,2019,6.19
Panama,PAN,2019,15.02
Papua New Guinea,PNG,2019,9.96
Paraguay,PRY,2019,11.88
Peru,PER,2019,3.36
Philippines,PHL,2019,13.88
Poland,POL,2019,1.6
Portugal,PRT,2019,1.56
Puerto Rico,PRI,2019,19.77
Qatar,QAT,2019,0.93
Region of the Americas (WHO),,2019,17.17
Romania,ROU,2019,1.98
Russia,RUS,2019,15.19
Rwanda,RWA,2019,3.64
Saint Kitts and Nevis,KNA,2019,16.87
Saint Lucia,LCA,2019,18.06
Saint Vincent and the Grenadines,VCT,2019,19.99
Samoa,WSM,2019,5.69
San Marino,SMR,2019,0.5
Sao Tome and Principe,STP,2019,5.17
Saudi Arabia,SAU,2019,1.13
Scotland,,2019,0.86
Senegal,SEN,2019,1.24
Serbia,SRB,2019,2.32
Seychelles,SYC,2019,4.91
Sierra Leone,SLE,2019,1.78
Singapore,SGP,2019,0.44
Slovakia,SVK,2019,2.17
Slovenia,SVN,2019,0.92
Solomon Islands,SLB,2019,5.22
Somalia,SOM,2019,12.67
South Africa,ZAF,2019,34.4
South Asia (WB),,2019,3.47
South Korea,KOR,2019,1.4
South Sudan,SSD,2019,9.42
South-East Asia Region (WHO),,2019,2.68
Spain,ESP,2019,0.73
Sri Lanka,LKA,2019,3.51
Sub-Saharan Africa (WB),,2019,7.37
Sudan,SDN,2019,1.53
Suriname,SUR,2019,8.47
Sweden,SWE,2019,1.17
Switzerland,CHE,2019,0.62
Syria,SYR,2019,2.07
Taiwan,TWN,2019,1.45
Tajikistan,TJK,2019,2.46
Tanzania,TZA,2019,6.1
Thailand,THA,2019,5.75
Timor,TLS,2019,2.76
Togo,TGO,2019,7.06
Tokelau,TKL,2019,4.23
Tonga,TON,2019,1.47
Trinidad and Tobago,TTO,2019,22.77
Tunisia,TUN,2019,0.68
Turkey,TUR,2019,1.97
Turkmenistan,TKM,2019,4.21
Tuvalu,TUV,2019,7.95
Uganda,UGA,2019,5.78
Ukraine,UKR,2019,11.99
United Arab Emirates,ARE,2019,0.94
United Kingdom,GBR,2019,0.51
United States,USA,2019,5.4
United States Virgin Islands,VIR,2019,25.32
Uruguay,URY,2019,6.16
Uzbekistan,UZB,2019,2.89
Vanuatu,VUT,2019,1.17
Venezuela,VEN,2019,38.99
Vietnam,VNM,2019,1.31
Wales,,2019,0.57
Western Pacific Region (WHO),,2019,1.76
World,OWID_WRL,2019,5.37
World Bank High Income,,2019,2.41
World Bank Low Income,,2019,6.49
World Bank Lower Middle Income,,2019,4.13
World Bank Upper Middle Income,,2019,7.88
Yemen,YEM,2019,2.6
Zambia,ZMB,2019,8.86
Zimbabwe,ZWE,2019,9.55
