Country,Code,Year,Unemployment_Rate
Suriname,SUR,2011,7.539999962
Suriname,SUR,2012,8.100000381
Suriname,SUR,2013,6.599999905
Suriname,SUR,2014,6.940000057
Suriname,SUR,2015,7.21999979
Suriname,SUR,2016,7.920000076
Suriname,SUR,2017,7.903999805
Suriname,SUR,2018,7.926000118
Suriname,SUR,2019,8.039999962
Uruguay,URY,1992,8.960000038
Uruguay,URY,1993,8.350000381
Uruguay,URY,1994,9.039999962
Uruguay,URY,1995,10.02000046
Uruguay,URY,1996,11.93000031
Uruguay,URY,1997,11.43999958
Uruguay,URY,1998,9.359999657
Uruguay,URY,1999,10.47000027
Uruguay,URY,2000,12.63000011
Uruguay,URY,2001,15.05000019
Uruguay,URY,2002,16.64999962
Uruguay,URY,2003,16.65999985
Uruguay,URY,2004,12.97999954
Uruguay,URY,2005,12.01000023
Uruguay,URY,2006,10.84000015
Uruguay,URY,2007,9.399999619
Uruguay,URY,2008,8.029999733
Uruguay,URY,2009,7.739999771
Uruguay,URY,2010,7.159999847
Uruguay,URY,2011,6.309999943
Uruguay,URY,2012,6.449999809
Uruguay,URY,2013,6.440000057
Uruguay,URY,2014,6.550000191
Uruguay,URY,2015,7.489999771
Uruguay,URY,2016,7.840000153
Uruguay,URY,2017,7.889999866
Uruguay,URY,2018,8.340000153
Uruguay,URY,2019,8.880000114
Venezuela,VEN,1992,7.690000057
Venezuela,VEN,1993,6.599999905
Venezuela,VEN,1994,8.56000042
Venezuela,VEN,1995,10.23999977
Venezuela,VEN,1996,11.77000046
Venezuela,VEN,1997,11.15999985
Venezuela,VEN,1998,11.14999962
Venezuela,VEN,1999,14.52999973
Venezuela,VEN,2000,13.98999977
Venezuela,VEN,2001,13.03999996
Venezuela,VEN,2002,16.17000008
Venezuela,VEN,2003,16.78000069
Venezuela,VEN,2004,15.06999969
Venezuela,VEN,2005,10.65999985
Venezuela,VEN,2006,8.609999657
Venezuela,VEN,2007,7.28000021
Venezuela,VEN,2008,6.25
Venezuela,VEN,2009,6.099999905
Venezuela,VEN,2010,7.110000134
Venezuela,VEN,2011,6.900000095
Venezuela,VEN,2012,6.599999905
Venezuela,VEN,2013,7.539999962
Venezuela,VEN,2014,6.863999844
Venezuela,VEN,2015,6.079999924
Venezuela,VEN,2016,5.320000172
Venezuela,VEN,2017,5.050000191
Venezuela,VEN,2018,5.021999836
Venezuela,VEN,2019,5.096000195
